date,value
2021-03-21,1.8518518518518516
2021-03-28,5.0
2021-04-04,5.084745762711865
2021-04-11,0.0
2021-04-18,0.0
2021-04-25,9.75609756097561
2021-05-02,7.792207792207792
2021-05-09,7.6923076923076925
2021-05-16,8.0
2021-05-23,3.076923076923077
2021-05-30,2.7027027027027026
2021-06-06,5.555555555555555
2021-06-13,16.666666666666664
2021-06-20,16.666666666666664
2021-06-27,10.606060606060606
2021-07-04,3.7037037037037033
2021-07-11,2.73972602739726
2021-07-18,14.000000000000002
2021-07-25,5.555555555555555
2021-08-01,5.769230769230769
2021-08-08,6.25
2021-08-15,7.894736842105263
2021-08-22,0.0
2021-08-29,1.4705882352941175
2021-09-05,8.333333333333332
2021-09-12,6.451612903225806
2021-09-19,8.620689655172415
2021-09-26,16.666666666666664
2021-10-03,6.8181818181818175
2021-10-10,13.333333333333334
2021-10-17,10.9375
2021-10-24,7.4074074074074066
2021-10-31,21.428571428571427
2021-11-07,18.055555555555554
2021-11-14,15.686274509803921
2021-11-21,1.6666666666666667
2021-11-28,4.838709677419355
2021-12-05,1.8867924528301887
2021-12-12,11.267605633802818
2021-12-19,10.256410256410255
2021-12-26,0.0
2022-01-02,5.769230769230769
2022-01-09,5.555555555555555
2022-01-16,7.936507936507936
2022-01-23,8.450704225352112
2022-01-30,5.263157894736842
2022-02-06,4.444444444444445
2022-02-13,4.166666666666666
2022-02-20,4.081632653061225
2022-02-27,5.0
2022-03-06,0.0
2022-03-13,0.0
2022-03-20,1.7857142857142856
2022-03-27,8.695652173913043
2022-04-03,3.076923076923077
2022-04-10,3.7735849056603774
2022-04-17,0.0
2022-04-24,5.555555555555555
2022-05-01,1.5151515151515151
2022-05-08,4.918032786885246
2022-05-15,8.064516129032258
2022-05-22,4.25531914893617
2022-05-29,8.823529411764707
2022-06-05,4.477611940298507
2022-06-12,4.651162790697675
2022-06-19,6.349206349206349
2022-07-03,12.121212121212121
2022-07-10,7.547169811320755
2022-07-17,9.67741935483871
2022-07-24,7.8125
2022-07-31,0.0
2022-08-07,4.477611940298507
2022-08-14,5.263157894736842
2022-08-21,1.4492753623188406
2022-08-28,7.547169811320755
2022-09-04,3.225806451612903
2022-09-11,6.0
2022-09-18,5.0
2022-09-25,6.8181818181818175
2022-10-02,4.545454545454546
2022-10-09,1.4492753623188406
2022-10-16,4.25531914893617
2022-10-23,3.1746031746031744
2022-10-30,3.3333333333333335
2022-11-06,6.122448979591836
2022-11-13,12.676056338028168
2022-11-20,14.0625
2022-11-27,7.6923076923076925
2022-12-04,7.042253521126761
2022-12-11,6.382978723404255
2022-12-18,6.521739130434782
2022-12-25,0.0
2023-01-01,3.389830508474576
2023-01-08,7.042253521126761
2023-01-15,15.151515151515152
2023-01-22,1.5625
2023-01-29,5.084745762711865
2023-02-05,6.779661016949152
2023-02-12,6.976744186046512
2023-02-19,1.7241379310344827
2023-02-26,4.477611940298507
2023-03-05,10.294117647058822
2023-03-12,5.0
2023-03-19,8.928571428571429
2023-03-26,13.793103448275861
2023-04-02,15.789473684210526
2023-04-09,2.127659574468085
2023-04-16,10.0
2023-04-23,11.428571428571429
2023-04-30,6.0606060606060606
2023-05-07,10.144927536231885
2023-05-14,4.761904761904762
2023-05-21,8.928571428571429
2023-05-28,8.928571428571429
2023-06-04,4.3478260869565215
2023-06-11,8.955223880597014
2023-06-18,13.432835820895523
2023-06-25,11.594202898550725
2023-07-02,7.6923076923076925
2023-07-09,4.545454545454546
2023-07-16,19.047619047619047
2023-07-23,8.333333333333332
2023-07-30,3.508771929824561
2023-08-06,7.042253521126761
2023-08-13,13.23529411764706
2023-08-20,6.349206349206349
2023-08-27,8.695652173913043
2023-09-03,2.941176470588235
2023-09-10,11.267605633802818
2023-09-17,5.454545454545454
2023-09-24,4.285714285714286
2023-10-01,3.896103896103896
2023-10-08,3.225806451612903
2023-10-15,0.0
2023-10-22,2.898550724637681
2023-10-29,4.545454545454546
2023-11-05,5.660377358490567
2023-11-12,6.25
2023-11-19,12.727272727272727
2023-11-26,7.142857142857142
2023-12-03,14.893617021276595
2023-12-10,19.298245614035086
2023-12-17,8.571428571428571
2023-12-24,7.6923076923076925
